avg_salary,Location,job_state,Company_Size,Company_Size - Description,company_age,python_yn,R_yn,spark,aws,excel,Job_Title,Type of ownership_College / University,Type of ownership_Company - Private,Type of ownership_Company - Public,Type of ownership_Government,Type of ownership_Hospital,Type of ownership_Nonprofit Organization,Type of ownership_Other Organization,Type of ownership_School / School District,Type of ownership_Subsidiary or Business Segment,Type of ownership_Unknown
72,"Albuquerque, NM", NM,4,501 to 1000 employees,47,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
87.5,"Linthicum, MD", MD,7,10000+ employees,36,1,0,0,0,0,data scientist,0,0,0,0,0,0,1,0,0,0
85,"Clearwater, FL", FL,4,501 to 1000 employees,10,1,0,1,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
76.5,"Richland, WA", WA,5,1001 to 5000 employees,55,1,0,0,0,0,data scientist,0,0,0,1,0,0,0,0,0,0
114.5,"New York, NY", NY,2,51 to 200 employees,22,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
95,"Dallas, TX", TX,3,201 to 500 employees,20,1,0,0,1,1,data scientist,0,0,1,0,0,0,0,0,0,0
73.5,"Baltimore, MD", MD,4,501 to 1000 employees,12,0,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
114,"San Jose, CA", CA,3,201 to 500 employees,15,1,0,1,1,1,data scientist,0,1,0,0,0,0,0,0,0,0
61,"Rochester, NY", NY,7,10000+ employees,6,0,0,0,0,0,research scientist,0,0,0,0,1,0,0,0,0,0
140,"New York, NY", NY,2,51 to 200 employees,11,1,0,1,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
163.5,"San Jose, CA", CA,4,501 to 1000 employees,9,1,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
85,"Chantilly, VA", VA,6,5001 to 10000 employees,52,0,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
139,"Plano, TX", TX,7,10000+ employees,58,0,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
65.5,"Seattle, WA", WA,3,201 to 500 employees,8,1,0,1,1,1,data analyst,0,1,0,0,0,0,0,0,0,0
113.5,"Cambridge, MA", MA,7,10000+ employees,239,1,0,1,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
146,"Newark, NJ", NJ,5,1001 to 5000 employees,25,0,0,0,0,1,data engineer i,0,0,0,0,0,0,0,0,1,0
102,"Cambridge, MA", MA,2,51 to 200 employees,9,0,0,0,0,1,scientist i,0,0,1,0,0,0,0,0,0,0
153.5,"Mountain View, CA", CA,3,201 to 500 employees,9,1,0,1,1,1,data scientist,0,1,0,0,0,0,0,0,0,0
142.5,"San Francisco, CA", CA,2,51 to 200 employees,10,0,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
87.5,"Denver, CO", CO,4,501 to 1000 employees,105,1,0,0,0,1,data scientist,0,0,0,0,0,1,0,0,0,0
105.5,"Seattle, WA", WA,3,201 to 500 employees,8,1,0,1,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
96,"Dallas, TX", TX,3,201 to 500 employees,7,0,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
112.5,"Chicago, IL", IL,4,501 to 1000 employees,25,1,0,0,1,1,data scientist,0,1,0,0,0,0,0,0,0,0
84,"Louisville, KY", KY,2,51 to 200 employees,85,1,0,0,0,1,data scientist,0,0,0,0,0,1,0,0,0,0
143,"Herndon, VA", VA,4,501 to 1000 employees,8,1,0,0,1,0,data scientist,0,1,0,0,0,0,0,0,0,0
86.5,"Cambridge, MA", MA,7,10000+ employees,171,1,0,0,1,1,data scientist,0,0,1,0,0,0,0,0,0,0
99.5,"Hillsboro, OR", OR,5,1001 to 5000 employees,68,1,0,1,1,1,data scientist,0,1,0,0,0,0,0,0,0,0
47.5,"Worcester, MA", MA,6,5001 to 10000 employees,168,0,0,0,0,1,junior data analyst,0,0,1,0,0,0,0,0,0,0
84,"Groton, CT", CT,7,10000+ employees,171,0,0,0,1,1,data scientist,0,0,1,0,0,0,0,0,0,0
85,"Clearwater, FL", FL,4,501 to 1000 employees,10,1,0,1,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
76.5,"Richland, WA", WA,5,1001 to 5000 employees,55,1,0,0,0,0,data scientist,0,0,0,1,0,0,0,0,0,0
96,"Detroit, MI", MI,5,1001 to 5000 employees,23,1,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
114.5,"Cambridge, MA", MA,7,10000+ employees,24,1,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
121,"Sunnyvale, CA", CA,6,5001 to 10000 employees,24,1,0,1,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
112.5,"Ipswich, MA", MA,3,201 to 500 employees,46,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
106,"San Jose, CA", CA,3,201 to 500 employees,12,1,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
107,"Redlands, CA", CA,5,1001 to 5000 employees,51,1,0,1,1,0,data scientist,0,1,0,0,0,0,0,0,0,0
110,"Woburn, MA", MA,3,201 to 500 employees,10,1,0,1,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
147.5,"Fremont, CA", CA,6,5001 to 10000 employees,150,1,0,0,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
106,"Long Beach, NY", NY,3,201 to 500 employees,35,1,0,0,0,1,data engineer,0,1,0,0,0,0,0,0,0,0
88,"San Francisco, CA", CA,3,201 to 500 employees,12,1,0,0,1,1,data analyst,0,1,0,0,0,0,0,0,0,0
98.5,"Marlborough, MA", MA,1,1 to 50 employees,-1,0,0,0,0,1,data engineer,0,1,0,0,0,0,0,0,0,0
142.5,"San Francisco, CA", CA,2,51 to 200 employees,10,0,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
82.5,"Allendale, NJ", NJ,6,5001 to 10000 employees,5,0,0,0,1,0,scientist,0,0,1,0,0,0,0,0,0,0
130,"Chicago, IL", IL,5,1001 to 5000 employees,27,1,0,1,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
155,"Washington, DC", DC,0,Unknown,-1,0,0,0,1,1,data scientist,0,1,0,0,0,0,0,0,0,0
184.5,"Bellevue, WA", WA,7,10000+ employees,62,1,0,0,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
29.5,"Longmont, CO", CO,6,5001 to 10000 employees,34,0,0,0,0,1,junior data analyst,0,1,0,0,0,0,0,0,0,0
86.5,"Beavercreek, OH", OH,4,501 to 1000 employees,21,0,0,0,0,0,data engineer,0,1,0,0,0,0,0,0,0,0
81,"Peoria, IL", IL,7,10000+ employees,95,0,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
91,"Fort Lauderdale, FL", FL,4,501 to 1000 employees,36,1,0,0,0,1,data scientist,0,0,0,0,0,0,0,0,1,0
114.5,"Boston, MA", MA,7,10000+ employees,108,1,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
68,"Huntsville, AL", AL,5,1001 to 5000 employees,18,1,0,0,0,1,data science,0,1,0,0,0,0,0,0,0,0
115,"Armonk, NY", NY,7,10000+ employees,157,1,0,0,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
109.5,"San Diego, CA", CA,7,10000+ employees,81,0,0,0,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
75.5,"Albuquerque, NM", NM,6,5001 to 10000 employees,150,1,0,0,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
154.5,"San Francisco, CA", CA,4,501 to 1000 employees,8,1,0,1,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
143.5,"Saint Louis, MO", MO,2,51 to 200 employees,4,1,0,1,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
73.5,"Baltimore, MD", MD,4,501 to 1000 employees,12,0,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
95,"Dallas, TX", TX,3,201 to 500 employees,20,1,0,0,1,1,data scientist,0,0,1,0,0,0,0,0,0,0
107,"Cincinnati, OH", OH,3,201 to 500 employees,135,1,0,0,1,0,data scientist,0,0,0,0,0,0,0,0,1,0
115,"New York, NY", NY,3,201 to 500 employees,9,1,0,1,1,0,data scientist,0,1,0,0,0,0,0,0,0,0
139.5,"Palo Alto, CA", CA,4,501 to 1000 employees,14,0,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
67,"Richland, WA", WA,5,1001 to 5000 employees,55,0,0,0,0,0,data scientist,0,0,0,1,0,0,0,0,0,0
85,"Coraopolis, PA", PA,7,10000+ employees,72,1,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
118,"Framingham, MA", MA,2,51 to 200 employees,14,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
79.5,"Atlanta, GA", GA,2,51 to 200 employees,17,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
56.5,"Boston, MA", MA,3,201 to 500 employees,21,1,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
128.5,"Philadelphia, PA", PA,1,1 to 50 employees,-1,1,0,1,1,0,data scientist,0,1,0,0,0,0,0,0,0,0
97.5,"Vancouver, WA", WA,7,10000+ employees,81,0,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
66.5,"Indianapolis, IN", IN,1,1 to 50 employees,5,1,0,0,0,0,analytics consultant,0,1,0,0,0,0,0,0,0,0
179.5,"Lake Forest, IL", IL,7,10000+ employees,93,1,0,0,0,1,"director, data science",0,0,1,0,0,0,0,0,0,0
76,"Maryland Heights, MO", MO,4,501 to 1000 employees,42,0,0,0,0,1,scientist,0,0,0,0,0,0,0,0,1,0
112,"Charlottesville, VA", VA,4,501 to 1000 employees,10,1,0,1,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
98,"Pittsburgh, PA", PA,5,1001 to 5000 employees,160,1,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
128,"Vancouver, WA", WA,7,10000+ employees,81,0,0,1,1,0,data scientist,0,0,1,0,0,0,0,0,0,0
150.5,"Mountain View, CA", CA,3,201 to 500 employees,9,1,0,1,1,1,sales engineer,0,1,0,0,0,0,0,0,0,0
87.5,"Cambridge, MA", MA,2,51 to 200 employees,20,0,0,0,1,0,research scientist,0,1,0,0,0,0,0,0,0,0
110,"Chantilly, VA", VA,5,1001 to 5000 employees,3,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
113.5,"San Jose, CA", CA,7,10000+ employees,25,1,0,0,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
124,"San Francisco, CA", CA,2,51 to 200 employees,4,1,0,0,0,0,data scientist,0,1,0,0,0,0,0,0,0,0
56.5,"Harrisburg, PA", PA,3,201 to 500 employees,23,0,0,0,0,1,junior data analyst,0,1,0,0,0,0,0,0,0,0
130,"Laurel, MD", MD,6,5001 to 10000 employees,78,1,0,0,0,1,data scientist,0,0,0,0,0,1,0,0,0,0
77.5,"Chicago, IL", IL,2,51 to 200 employees,12,0,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
87,"Arlington, VA", VA,3,201 to 500 employees,18,1,0,0,1,1,data engineer,0,1,0,0,0,0,0,0,0,0
53.5,"Tacoma, WA", WA,4,501 to 1000 employees,72,0,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
139,"Plano, TX", TX,7,10000+ employees,58,0,0,0,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
114,"San Jose, CA", CA,3,201 to 500 employees,15,1,0,1,1,1,data scientist,0,1,0,0,0,0,0,0,0,0
85.5,"Miami, FL", FL,4,501 to 1000 employees,12,1,0,1,0,1,data scientist,0,1,0,0,0,0,0,0,0,0
48,"Huntsville, AL", AL,2,51 to 200 employees,24,0,0,0,0,1,data management specialist,0,1,0,0,0,0,0,0,0,0
48,"New Orleans, LA", LA,2,51 to 200 employees,21,0,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
174,"San Francisco, CA", CA,3,201 to 500 employees,30,0,0,0,0,1,data scientist,0,0,1,0,0,0,0,0,0,0
85,"Atlanta, GA", GA,6,5001 to 10000 employees,52,1,0,1,0,0,data scientist,0,0,1,0,0,0,0,0,0,0
106.5,"Landover, MD", MD,2,51 to 200 employees,17,0,0,0,0,0,data modeler,0,1,0,0,0,0,0,0,0,0
72.5,"Patuxent River, MD", MD,5,1001 to 5000 employees,32,0,0,0,0,1,data analyst,0,1,0,0,0,0,0,0,0,0
85.5,"Suitland, MD", MD,7,10000+ employees,24,0,0,0,0,0,scientist,0,0,0,0,0,0,0,0,1,0
